province,party_code,party_name,party_scope,comparable_to_dpr,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,dpr_total_votes,dpr_vote_share,dprd_minus_dpr_vote_share,dprd_minus_dpr_seat_share
DKI Jakarta,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,11578,0.001743,-0.001743,0.000000
DKI Jakarta,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,45244,0.006811,-0.006811,0.000000
Daerah Istimewa Yogyakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,19,0.345455,2,0.250000,593969,0.258835,0.086620,0.095455
Daerah Istimewa Yogyakarta,Gerindra,Partai Gerakan Indonesia Raya,national,true,8,0.145455,1,0.125000,272165,0.118602,0.026853,0.020455
Daerah Istimewa Yogyakarta,PKS,Partai Keadilan Sejahtera,national,true,7,0.127273,1,0.125000,272061,0.118557,0.008716,0.002273
Daerah Istimewa Yogyakarta,Golkar,Partai Golongan Karya,national,true,6,0.109091,1,0.125000,302845,0.131971,-0.022880,-0.015909
Daerah Istimewa Yogyakarta,PKB,Partai Kebangkitan Bangsa,national,true,6,0.109091,1,0.125000,245627,0.107037,0.002054,-0.015909
Daerah Istimewa Yogyakarta,PAN,Partai Amanat Nasional,national,true,5,0.090909,1,0.125000,198662,0.086571,0.004338,-0.034091
Daerah Istimewa Yogyakarta,NasDem,Partai NasDem,national,true,2,0.036364,1,0.125000,130830,0.057012,-0.020648,-0.088636
Daerah Istimewa Yogyakarta,PPP,Partai Persatuan Pembangunan,national,true,1,0.018182,0,0.000000,47873,0.020862,-0.002680,0.018182
Daerah Istimewa Yogyakarta,PSI,Partai Solidaritas Indonesia,national,true,1,0.018182,0,0.000000,71998,0.031375,-0.013193,0.018182
Daerah Istimewa Yogyakarta,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,15343,0.006686,-0.006686,0.000000
Daerah Istimewa Yogyakarta,Demokrat,Partai Demokrat,national,true,0,0.000000,0,0.000000,49203,0.021441,-0.021441,0.000000
Daerah Istimewa Yogyakarta,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,4792,0.002088,-0.002088,0.000000
Daerah Istimewa Yogyakarta,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,12732,0.005548,-0.005548,0.000000
Daerah Istimewa Yogyakarta,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,4047,0.001764,-0.001764,0.000000
Daerah Istimewa Yogyakarta,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,3250,0.001416,-0.001416,0.000000
Daerah Istimewa Yogyakarta,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,3638,0.001585,-0.001585,0.000000
Daerah Istimewa Yogyakarta,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,10234,0.004460,-0.004460,0.000000
Daerah Istimewa Yogyakarta,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,55510,0.024190,-0.024190,0.000000
Gorontalo,Golkar,Partai Golongan Karya,national,true,8,0.177778,1,0.333333,163074,0.219841,-0.042063,-0.155556
Gorontalo,NasDem,Partai NasDem,national,true,7,0.155556,1,0.333333,227533,0.306738,-0.151182,-0.177778
Gorontalo,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,7,0.155556,0,0.000000,46225,0.062316,0.093239,0.155556
Gorontalo,Gerindra,Partai Gerakan Indonesia Raya,national,true,6,0.133333,1,0.333333,145152,0.195680,-0.062347,-0.200000
Gorontalo,PKS,Partai Keadilan Sejahtera,national,true,5,0.111111,0,0.000000,17590,0.023713,0.087398,0.111111
Gorontalo,PPP,Partai Persatuan Pembangunan,national,true,4,0.088889,0,0.000000,70720,0.095338,-0.006449,0.088889
Gorontalo,Demokrat,Partai Demokrat,national,true,3,0.066667,0,0.000000,14090,0.018995,0.047672,0.066667
Gorontalo,PAN,Partai Amanat Nasional,national,true,3,0.066667,0,0.000000,15149,0.020422,0.046244,0.066667
Gorontalo,Hanura,Partai Hati Nurani Rakyat,national,true,1,0.022222,0,0.000000,5984,0.008067,0.014155,0.022222
Gorontalo,PKB,Partai Kebangkitan Bangsa,national,true,1,0.022222,0,0.000000,14897,0.020083,0.002140,0.022222
Gorontalo,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,2447,0.003299,-0.003299,0.000000
Gorontalo,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,1663,0.002242,-0.002242,0.000000
Gorontalo,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,5348,0.007210,-0.007210,0.000000
Gorontalo,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,1552,0.002092,-0.002092,0.000000
Gorontalo,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,970,0.001308,-0.001308,0.000000
Gorontalo,PSI,Partai Solidaritas Indonesia,national,true,0,0.000000,0,0.000000,2469,0.003328,-0.003328,0.000000
Gorontalo,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,5843,0.007877,-0.007877,0.000000
Gorontalo,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,1077,0.001452,-0.001452,0.000000
Jambi,PAN,Partai Amanat Nasional,national,true,10,0.181818,1,0.125000,166290,0.085202,0.096617,0.056818
Jambi,Golkar,Partai Golongan Karya,national,true,7,0.127273,2,0.250000,341039,0.174737,-0.047465,-0.122727
Jambi,Gerindra,Partai Gerakan Indonesia Raya,national,true,6,0.109091,1,0.125000,241351,0.123660,-0.014570,-0.015909
Jambi,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,6,0.109091,1,0.125000,318124,0.162996,-0.053905,-0.015909
Jambi,PKB,Partai Kebangkitan Bangsa,national,true,6,0.109091,1,0.125000,212847,0.109056,0.000035,-0.015909
Jambi,Demokrat,Partai Demokrat,national,true,5,0.090909,1,0.125000,197962,0.101429,-0.010520,-0.034091
Jambi,NasDem,Partai NasDem,national,true,5,0.090909,1,0.125000,176441,0.090403,0.000506,-0.034091
