province,candidate,coalition_parties,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,pilpres_vote_share,pilpres_minus_dprd_seat_share
Papua Selatan,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.314286,1,0.333333,0.349500,0.035214
Papua Barat Daya,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.314286,0,0.000000,0.279300,-0.034986
Jawa Tengah,Ganjar,PDIP|PPP|Hanura|Perindo,39,0.325000,23,0.298701,0.343500,0.018500
DKI Jakarta,Ganjar,PDIP|PPP|Hanura|Perindo,17,0.160377,4,0.190476,0.172600,0.012223
Kepulauan Riau,Ganjar,PDIP|PPP|Hanura|Perindo,6,0.133333,1,0.250000,0.122100,-0.011233
Kalimantan Selatan,Ganjar,PDIP|PPP|Hanura|Perindo,4,0.072727,0,0.000000,0.066100,-0.006627
Lampung,Ganjar,PDIP|PPP|Hanura|Perindo,13,0.152941,3,0.150000,0.149600,-0.003341
Sulawesi Utara,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,17,0.377778,3,0.500000,0.753100,0.375322
Sulawesi Tenggara,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,18,0.400000,3,0.500000,0.711100,0.311100
Papua Pegunungan,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,17,0.377778,1,0.333333,0.645600,0.267822
Maluku,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,16,0.355556,2,0.500000,0.615900,0.260344
Papua Tengah,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,15,0.333333,1,0.333333,0.579400,0.246067
Sulawesi Tengah,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,25,0.454545,5,0.714286,0.695700,0.241155
Jawa Timur,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,53,0.441667,38,0.436782,0.651900,0.210233
Gorontalo,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,20,0.444444,2,0.666667,0.652400,0.207956
Nusa Tenggara Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,30,0.461538,4,0.363636,0.663700,0.202162
Sumatera Selatan,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,37,0.493333,9,0.529412,0.694700,0.201367
Kepulauan Bangka Belitung,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,18,0.400000,2,0.666667,0.598500,0.198500
Kalimantan Tengah,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,24,0.533333,4,0.666667,0.725200,0.191867
Maluku Utara,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,19,0.422222,1,0.333333,0.609300,0.187078
Papua,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,19,0.422222,1,0.333333,0.606200,0.183978
Lampung,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,44,0.517647,11,0.550000,0.695500,0.177853
Papua Selatan,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,12,0.342857,0,0.000000,0.517400,0.174543
Kalimantan Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,29,0.446154,4,0.333333,0.610500,0.164346
Bali,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,21,0.381818,3,0.333333,0.542600,0.160782
Sumatera Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,35,0.538462,7,0.500000,0.394500,-0.143962
Jambi,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,28,0.509091,5,0.625000,0.652300,0.143209
Daerah Istimewa Yogyakarta,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,20,0.363636,3,0.375000,0.506300,0.142664
Jawa Tengah,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,47,0.391667,30,0.389610,0.530700,0.139033
Kalimantan Timur,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,31,0.563636,4,0.500000,0.691500,0.127864
Jawa Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,55,0.458333,47,0.516484,0.585000,0.126667
Bengkulu,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,26,0.577778,2,0.500000,0.704300,0.126522
Kalimantan Utara,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,20,0.571429,2,0.666667,0.697100,0.125671
Sulawesi Selatan,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,38,0.447059,14,0.583333,0.570200,0.123141
Sumatera Utara,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,46,0.460000,17,0.566667,0.582600,0.122600
Nusa Tenggara Timur,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,35,0.538462,7,0.538462,0.618000,0.079538
Aceh,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,26,0.320988,6,0.461538,0.244300,-0.076688
Papua Barat Daya,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,18,0.514286,2,0.666667,0.585400,0.071114
Banten,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,49,0.490000,11,0.500000,0.559900,0.069900
Papua Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,16,0.457143,1,0.333333,0.522600,0.065457
DKI Jakarta,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,51,0.481132,9,0.428571,0.416700,-0.064432
Kalimantan Selatan,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,29,0.527273,8,0.727273,0.582300,0.055027
Riau,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,31,0.476923,7,0.538462,0.523500,0.046577
Sulawesi Barat,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,28,0.622222,2,0.500000,0.651400,0.029178
Kepulauan Riau,Prabowo,Gerindra|Golkar|PAN|Demokrat|PSI|Gelora|Garuda,24,0.533333,2,0.500000,0.556400,0.023067
