province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Kepulauan Bangka Belitung,NasDem,Partai NasDem,6,24,4.000000,true
Kepulauan Bangka Belitung,Buruh,Partai Buruh,0,0,,false
Kepulauan Bangka Belitung,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Kepulauan Bangka Belitung,PKS,Partai Keadilan Sejahtera,6,16,2.666667,true
Kepulauan Bangka Belitung,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kepulauan Bangka Belitung,Hanura,Partai Hati Nurani Rakyat,0,6,,false
Kepulauan Bangka Belitung,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kepulauan Bangka Belitung,PAN,Partai Amanat Nasional,0,7,,false
Kepulauan Bangka Belitung,PBB,Partai Bulan Bintang,1,8,8.000000,true
Kepulauan Bangka Belitung,Demokrat,Partai Demokrat,3,18,6.000000,true
Kepulauan Bangka Belitung,PSI,Partai Solidaritas Indonesia,0,2,,false
Kepulauan Bangka Belitung,Perindo,Partai Perindo,0,4,,false
Kepulauan Bangka Belitung,PPP,Partai Persatuan Pembangunan,3,11,3.666667,true
Kepulauan Bangka Belitung,PNA,PNA,0,0,,false
Kepulauan Bangka Belitung,Gabthat,Gabthat,0,0,,false
Kepulauan Bangka Belitung,PDA,PDA,0,0,,false
Kepulauan Bangka Belitung,PA,PA,0,0,,false
Kepulauan Bangka Belitung,PASA,PASA,0,0,,false
Kepulauan Bangka Belitung,SIRA,SIRA,0,0,,false
Kepulauan Bangka Belitung,Ummat,Partai Ummat,0,0,,false
Bengkulu,PKB,Partai Kebangkitan Bangsa,3,19,6.333333,true
Bengkulu,Gerindra,Partai Gerakan Indonesia Raya,6,32,5.333333,true
Bengkulu,PDIP,Partai Demokrasi Indonesia Perjuangan,6,29,4.833333,true
Bengkulu,Golkar,Partai Golongan Karya,10,39,3.900000,true
Bengkulu,NasDem,Partai NasDem,4,33,8.250000,true
Bengkulu,Buruh,Partai Buruh,0,0,,false
Bengkulu,Gelora,Partai Gelombang Rakyat Indonesia,0,2,,false
Bengkulu,PKS,Partai Keadilan Sejahtera,2,17,8.500000,true
Bengkulu,PKN,Partai Kebangkitan Nusantara,0,0,,false
Bengkulu,Hanura,Partai Hati Nurani Rakyat,3,11,3.666667,true
Bengkulu,Garuda,Partai Garda Republik Indonesia,0,0,,false
Bengkulu,PAN,Partai Amanat Nasional,6,35,5.833333,true
Bengkulu,PBB,Partai Bulan Bintang,0,4,,false
Bengkulu,Demokrat,Partai Demokrat,4,17,4.250000,true
