province,province_raw,district,party_number,party_code,party_name,party_vote,candidate_number,candidate_name,candidate_vote,candidate_rank,candidate_rank_raw
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,3,FITRIAH ISPANDI,568,4,IV
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,5,INTAN KHAIRANI,266,5,V
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,6,SRI ARIANA NINGSIH,223,6,VI
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,7,"ADNAN YACOB, S.E.",187,7,VII
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,1,CHAIDIR FURRAZI NUR,903,1,I
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,2,PUTRI CHOIRUN NISYA,367,2,II
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,5,"T. ISKANDAR, S.T.",272,3,III
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,3,EGI KURNIA PUTRA,217,4,IV
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,4,BENING LARASATI,128,5,V
Aceh,ACEH,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,6,SETYANI LARASATI,98,6,VI
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,1,H. NAZARUDDIN DEK GAM,140614,1,I
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,5,"MUCHLIS ZULKIFLI, S.T., M.H.",24532,2,II
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,2,"MOHD. ALFATAH, S.Ag.",6093,3,III
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,3,"Ir. Hj. FERRY SORAYA, M.S.I.E.",1677,4,IV
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,4,DEWI MARLINA,1409,5,V
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,7,ZULFITRI ARIFIN,1069,6,VI
Aceh,ACEH,ACEH I,12,PAN,Partai Amanat Nasional,10187,6,"GITA ISNA YUNITA, S.E.",286,7,VII
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,1,"H. ERLI HASIM, S.H., S.Ag., M.I.Kom.",12470,1,I
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,2,Dr. TGK. H. MUHAMMAD YUS,1886,2,II
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,5,"HAMZAH, S.Sos.I.",592,3,III
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,3,"NURATIAH HANIM, A.Md.Kep.",397,4,IV
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,4,"SALAWATI DAHLAN M.S., S.E.",362,5,V
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,6,"Heri Ramunandar, S.H.",331,6,VI
Aceh,ACEH,ACEH I,13,PBB,Partai Bulan Bintang,1742,7,"SALAMUN, S.E.",276,7,VII
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,1,H. TEUKU RIEFKY HARSYA,88005,1,I
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,2,"H. T. IBRAHIM, S.T., M.M.",12653,2,II
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,4,KHAIRULLAH,5274,3,III
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,7,TEUKU RASSYA I. PASYA,5004,4,IV
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,5,"Tgk. HARMEN NURIQMAR, S.S.",4378,5,V
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,3,NURHAYATI,3379,6,VI
Aceh,ACEH,ACEH I,14,Demokrat,Partai Demokrat,10891,6,RIZQA ZANIA,1329,7,VII
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,2,"AL-QUDRI, S.T.P.",6563,1,I
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,1,Qausar Harta Yudana,5478,2,II
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,3,Ercut Nova Sari,242,3,III
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,4,ARIEF MARTHA RAHADYAN,223,4,IV
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,5,Ismaidi,191,5,V
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,7,SLAMET SATYAWATI,98,6,VI
Aceh,ACEH,ACEH I,15,PSI,Partai Solidaritas Indonesia,3744,6,Suci Nur Maizaroh,91,7,VII
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,1,"Mayjen. TNI (Purn.) ABDUL HAFIL FUDDIN, S.H., S.I.P., M.H.",1957,1,I
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,5,Drs. ABDON SIAGIAN,627,2,II
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,2,AZWAR RAMLI,600,3,III
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,3,INTAN MONIKA,204,4,IV
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,4,DENY ZULFIKAR,147,5,V
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,7,DWI AGUS SETIYORINI,90,6,VI
Aceh,ACEH,ACEH I,16,Perindo,Partai Perindo,480,6,SIWI ASRI MOPRIRATNA,57,7,VII
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,2,"ILLIZA SA'ADUDDIN DJAMAL, S.E.",111389,1,I
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,1,AMRI M. ALI,11888,2,II
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,6,SAID SAIFUL AL MAHDALI,2278,3,III
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,4,"H. ANSARI IDRUS SAMBO, S.H.",2182,4,IV
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,3,"HILMAN ISMAIL METAREUM, S.E.",1518,5,V
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,7,CUT RATNAWATI,829,6,VI
Aceh,ACEH,ACEH I,17,PPP,Partai Persatuan Pembangunan,7185,5,HARMANIAR,566,7,VII
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,1,"H. JAMAI SUNI, S.E., M.M.",6000,1,I
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,2,"H. ANAS BIDIN NYAK SYECH, S.Ag.",871,2,II
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,4,Drs. USTAZ ARSYAD AHJON,792,3,III
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,3,CUT EVITA,458,4,IV
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,5,Drs. SAIFUDDIN SAMIN,381,5,V
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,6,"FARIDAH, S.E.",243,6,VI
Aceh,ACEH,ACEH I,24,Ummat,Partai Ummat,1579,7,"EFFRIDANDA M., S.E.",212,7,VII
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,1,H. RUSLAN DAUD (HRD),141953,1,I
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,2,"MUHAMMAD ADAM, M.Ed.",75724,2,II
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,4,"H. DARKASYI, S.H.",20147,3,III
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,3,"ANA FITRIA SARI PINEM, S.H., M.Kn.",2744,4,IV
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,5,SUMADI ARSYAH,1810,5,V
Aceh,ACEH,ACEH II,1,PKB,Partai Kebangkitan Bangsa,24453,6,"ARINI ARISKA, A.Md.Keb",919,6,VI
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,1,"Ir. H. T. A. KHALID, M.M.",73873,1,I
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,2,"FADLI TRI HARTONO, S.Si., M.P.A.",34860,2,II
Aceh,ACEH,ACEH II,2,Gerindra,Partai Gerakan Indonesia Raya,13723,5,"T. ZAINAL ABIDIN, S.Pd.I., M.H.",26218,3,III
