province,province_raw,party_code,party_name,provincial_seats,source_url,notes
DKI Jakarta,DK Jakarta,Demokrat,Partai Demokrat,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,PSI,Partai Solidaritas Indonesia,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,PPP,Partai Persatuan Pembangunan,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,Perindo,Partai Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
Jawa Barat,Jawa Barat,Gerindra,Partai Gerakan Indonesia Raya,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,Golkar,Partai Golongan Karya,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PKS,Partai Keadilan Sejahtera,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PKB,Partai Kebangkitan Bangsa,15,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,Demokrat,Partai Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,NasDem,Partai NasDem,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PAN,Partai Amanat Nasional,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PPP,Partai Persatuan Pembangunan,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Jawa Barat,PSI,Partai Solidaritas Indonesia,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Tengah,Jawa Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,33,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,PKB,Partai Kebangkitan Bangsa,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,Gerindra,Partai Gerakan Indonesia Raya,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,Golkar,Partai Golongan Karya,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,PKS,Partai Keadilan Sejahtera,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,Demokrat,Partai Demokrat,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,PPP,Partai Persatuan Pembangunan,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,PAN,Partai Amanat Nasional,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,NasDem,Partai NasDem,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Jawa Tengah,PSI,Partai Solidaritas Indonesia,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Daerah Istimewa Yogyakarta,DI Yogyakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
Daerah Istimewa Yogyakarta,DI Yogyakarta,Gerindra,Partai Gerakan Indonesia Raya,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
