province,province_raw,party_code,party_name,kabkot_seats
Daerah Istimewa Yogyakarta,Yogyakarta,PPP,Partai Persatuan Pembangunan,11
Daerah Istimewa Yogyakarta,Yogyakarta,PNA,PNA,0
Daerah Istimewa Yogyakarta,Yogyakarta,Gabthat,Gabthat,0
Daerah Istimewa Yogyakarta,Yogyakarta,PDA,PDA,0
Daerah Istimewa Yogyakarta,Yogyakarta,PA,PA,0
Daerah Istimewa Yogyakarta,Yogyakarta,PASA,PASA,0
Daerah Istimewa Yogyakarta,Yogyakarta,SIRA,SIRA,0
Daerah Istimewa Yogyakarta,Yogyakarta,Ummat,Partai Ummat,1
Jawa Timur,East Java,PKB,Partai Kebangkitan Bangsa,337
Jawa Timur,East Java,Gerindra,Partai Gerakan Indonesia Raya,218
Jawa Timur,East Java,PDIP,Partai Demokrasi Indonesia Perjuangan,307
Jawa Timur,East Java,Golkar,Partai Golongan Karya,215
Jawa Timur,East Java,NasDem,Partai NasDem,134
Jawa Timur,East Java,Buruh,Partai Buruh,0
Jawa Timur,East Java,Gelora,Partai Gelombang Rakyat Indonesia,5
Jawa Timur,East Java,PKS,Partai Keadilan Sejahtera,103
Jawa Timur,East Java,PKN,Partai Kebangkitan Nusantara,0
Jawa Timur,East Java,Hanura,Partai Hati Nurani Rakyat,27
Jawa Timur,East Java,Garuda,Partai Garda Republik Indonesia,0
Jawa Timur,East Java,PAN,Partai Amanat Nasional,74
Jawa Timur,East Java,PBB,Partai Bulan Bintang,11
Jawa Timur,East Java,Demokrat,Partai Demokrat,144
Jawa Timur,East Java,PSI,Partai Solidaritas Indonesia,11
Jawa Timur,East Java,Perindo,Partai Perindo,7
Jawa Timur,East Java,PPP,Partai Persatuan Pembangunan,101
Jawa Timur,East Java,PNA,PNA,0
Jawa Timur,East Java,Gabthat,Gabthat,0
Jawa Timur,East Java,PDA,PDA,0
Jawa Timur,East Java,PA,PA,0
Jawa Timur,East Java,PASA,PASA,0
Jawa Timur,East Java,SIRA,SIRA,0
Jawa Timur,East Java,Ummat,Partai Ummat,1
Banten,Banten,PKB,Partai Kebangkitan Bangsa,39
Banten,Banten,Gerindra,Partai Gerakan Indonesia Raya,50
Banten,Banten,PDIP,Partai Demokrasi Indonesia Perjuangan,46
Banten,Banten,Golkar,Partai Golongan Karya,67
Banten,Banten,NasDem,Partai NasDem,40
Banten,Banten,Buruh,Partai Buruh,0
Banten,Banten,Gelora,Partai Gelombang Rakyat Indonesia,1
Banten,Banten,PKS,Partai Keadilan Sejahtera,48
Banten,Banten,PKN,Partai Kebangkitan Nusantara,0
Banten,Banten,Hanura,Partai Hati Nurani Rakyat,0
Banten,Banten,Garuda,Partai Garda Republik Indonesia,0
Banten,Banten,PAN,Partai Amanat Nasional,23
Banten,Banten,PBB,Partai Bulan Bintang,0
Banten,Banten,Demokrat,Partai Demokrat,39
Banten,Banten,PSI,Partai Solidaritas Indonesia,8
Banten,Banten,Perindo,Partai Perindo,1
Banten,Banten,PPP,Partai Persatuan Pembangunan,28
Banten,Banten,PNA,PNA,0
Banten,Banten,Gabthat,Gabthat,0
Banten,Banten,PDA,PDA,0
Banten,Banten,PA,PA,0
Banten,Banten,PASA,PASA,0
