province,party,seats,source_url,notes
Bengkulu,Hanura,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,PKB,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,PKS,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,PPP,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Jambi,PAN,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Golkar,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Gerindra,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,PDI-P,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,PKB,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Demokrat,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,NasDem,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,PKS,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,PPP,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Sumatera Selatan,Golkar,12,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Gerindra,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PDI-P,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PKB,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PKS,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PAN,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PPP,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Hanura,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,PKN,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Kepulauan Bangka Belitung,PDI-P,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Golkar,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Gerindra,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,NasDem,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,PKS,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Demokrat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,PPP,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,PKB,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,PBB,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Lampung,Gerindra,16,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,PDI-P,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Golkar,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,PKB,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Demokrat,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,PAN,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,PKS,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Banten,Gerindra,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Golkar,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PDI-P,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PKS,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Demokrat,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PKB,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PAN,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PPP,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,PSI,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
DK Jakarta,PKS,18,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,PDI-P,15,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,Gerindra,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,Golkar,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,PAN,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,PKB,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,Demokrat,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,PSI,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,PPP,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DK Jakarta,Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
Jawa Barat,Gerindra,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Golkar,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PKS,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PDI-P,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PKB,15,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,NasDem,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PAN,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PPP,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Barat,PSI,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Barat,elected party seats only
Jawa Tengah,PDI-P,33,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,PKB,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Gerindra,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Golkar,17,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,PKS,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,Demokrat,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,PPP,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,PAN,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,NasDem,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
Jawa Tengah,PSI,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jawa_Tengah,elected party seats only
DI Yogyakarta,PDI-P,19,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,Gerindra,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,PKS,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
DI Yogyakarta,Golkar,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Daerah_Istimewa_Yogyakarta,elected party seats only
